   List of levels:

     Level   Energy             Jpi    K
   5204    31/2-     27/2-   926.7(10)       1.4(4)       1.21e-03   0.00  E2
   5204    31/2-     27/2-   994.5(10)       1.6(4)       1.03e-03   0.00  E2
   5204    31/2-     27/2-   1045.7(10)      1.4(4)       9.19e-04   0.00  E2
   5204    31/2-     27/2-   1404.0(10)      0.4(4)       4.93e-04   0.00  E2
   6307    35/2-     35/2-   235.0(10)       0.1(4)       3.74e-02   0.00  M1
   6307    35/2-     31/2-   1028.1(10)      0.9(4)       9.55e-04   0.00  E2
   6307    35/2-     31/2-   1102.5(10)      2.0(4)       8.18e-04   0.00  E2
   6307    35/2-     31/2-   1354.1(10)      0.6(4)       5.30e-04   0.00  E2
   7494    39/2-     35/2-   1187.0(10)      0.6(4)       6.98e-04   0.00  E2
   5288  (29/2-)   (27/2-)   290.5(10)       0.4(4)       2.16e-02   0.00  M1
   5288  (29/2-)     27/2-   1077.7(10)      0.4(4)       9.73e-04   0.00  M1
   5288  (29/2-)     27/2+   1415.0(10)      0.2(4)       2.32e-04   0.00  E1
   5288  (29/2-)     27/2-   1487.1(10)      0.2(4)       4.90e-04   0.00  M1
   5999  (33/2-)   (31/2-)   384.9(10)       0.8(4)       1.06e-02   0.00  M1
   5999  (33/2-)   (29/2-)   711.0(10)       0.3(4)       2.31e-03   0.00  E2
   5999  (33/2-)     31/2-   719.8(10)       0.5(4)       2.40e-03   0.00  M1
   5999  (33/2-)     31/2-   794.2(10)       0.4(4)       1.92e-03   0.00  M1
   5999  (33/2-)     29/2-   1042.8(10)      0.2(4)       9.25e-04   0.00  E2
   5999  (33/2-)   (29/2-)   1215.1(10)      0.2(4)       6.64e-04   0.00  E2
   6886  (37/2-)   (35/2-)   455.4(10)       0.7(4)       7.02e-03   0.00  M1
   6886  (37/2-)     35/2-   579.4(10)       0.5(4)       3.98e-03   0.00  M1
   6886  (37/2-)   (33/2-)   887.8(10)       0.5(4)       1.34e-03   0.00  E2
   6886  (37/2-)   (33/2-)   1038.7(10)      0.4(4)       9.33e-04   0.00  E2
   8012  (41/2-)   (39/2-)   600.4(10)       0.6(4)       3.67e-03   0.00  M1
   8012  (41/2-)   (37/2-)   1125.5(10)      0.6(4)       7.83e-04   0.00  E2
   9312    45/2-   (43/2-)   695.9(10)       0.3(4)       2.60e-03   0.00  M1
   9312    45/2-   (41/2-)   1299.9(10)      0.4(4)       5.77e-04   0.00  E2
  10775    49/2-     47/2-   777.9(10)       0.2(4)       2.01e-03   0.00  M1
  10775    49/2-     45/2-   1463.0(10)      0.2(4)       4.54e-04   0.00  E2
   2966    21/2-   (17/2-)   1005.0(10)      0.4(4)       1.01e-03   0.00  E2
   2966    21/2-     19/2-   1224.0(10)      2.7(4)       7.39e-04   0.00  M1
   3564    23/2+     21/2+   444.1(10)       1.6(4)       7.47e-03   0.00  M1
   3564    23/2+     21/2-   598.0(10)       0.6(4)       1.26e-03   0.00  E1
   3564    23/2+     19/2+   808.4(10)       1.2(4)       1.68e-03   0.00  E2
   3564    23/2+     23/2-   863.6(10)       1.2(4)       5.78e-04   0.00  E1
   4451    27/2+     25/2+   432.1(10)       0.4(4)       7.99e-03   0.00  M1
   4451    27/2+     23/2+   886.7(10)       1.2(4)       1.34e-03   0.00  E2
   4466    27/2-     23/2-   1313.0(10)      0.4(4)       5.65e-04   0.00  E2
   6353    35/2-     31/2-   1148.4(10)      1.4(4)       7.49e-04   0.00  E2
   6353    35/2-     31/2-   1400.0(10)      1.0(4)       4.96e-04   0.00  E2
   7614    39/2-     35/2-   1261.3(10)      0.6(4)       6.14e-04   0.00  E2
   7614    39/2-     35/2-   1542.2(10)      0.1(4)       0.00e+00   0.00  E2
   8950    43/2-     39/2-   1336.0(10)      0.2(4)       5.45e-04   0.00  E2
   2492    19/2-     15/2-   1521.9(10)      4.1(4)       0.00e+00   0.00  E2
   3333    23/2-     23/2-   633.1(10)       1.2(4)       3.23e-03   0.00  M1
   3333    23/2-     19/2-   680.5(10)       0.3(4)       2.59e-03   0.00  E2
   3333    23/2-     19/2-   841.5(10)       1.4(4)       1.52e-03   0.00  E2
   3333    23/2-     19/2-   1591.5(10)      4.5(4)       0.00e+00   0.00  E2
   4278    27/2-     27/2-   477.3(10)       1.2(4)       6.27e-03   0.00  M1
   4278    27/2-     23/2-   944.3(10)       2.4(4)       1.16e-03   0.00  E2
   4278    27/2-     23/2-   1577.4(10)      1.6(4)       0.00e+00   0.00  E2
   5370    31/2-     31/2-   417.4(10)       0.5(4)       8.69e-03   0.00  M1
   5370    31/2-     27/2-   1092.5(10)      0.7(4)       8.35e-04   0.00  E2
   5370    31/2-     27/2-   1211.5(10)      1.6(4)       6.68e-04   0.00  E2
   5370    31/2-     27/2-   1569.8(10)      0.7(4)       0.00e+00   0.00  E2
   6497    35/2-     35/2-   425.0(10)       0.2(4)       8.32e-03   0.00  M1
   6497    35/2-     31/2-   1126.7(10)      0.9(4)       7.80e-04   0.00  E2
   6497    35/2-     31/2-   1544.1(10)      0.2(4)       0.00e+00   0.00  E2
   7744    39/2-     39/2-   553.0(10)       0.1(4)       4.45e-03   0.00  M1
   7744    39/2-     35/2-   1247.2(10)      0.2(4)       6.28e-04   0.00  E2
   2653    19/2-     15/2-   889.7(10)       0.8(4)       1.33e-03   0.00  E2
